,r2
0,0.458499424832321
1,0.45502397966267216
2,0.4569457696725553
3,0.4519247264523082
4,0.45131501204983104
5,0.45483020862697976
6,0.4627462232156925
7,0.46021526275440405
8,0.46127783615076856
9,0.4654975093559549
10,0.46400222789098466
11,0.4645489959679222
12,0.4640789645565564
13,0.45566015788945735
14,0.45383274709661714
15,0.454115459145243
16,0.45202913257162236
17,0.457311150701347
18,0.4577314060641333
19,0.45693975293248945
20,0.4606398262214534
21,0.4632616633146117
22,0.4658151355525423
23,0.47074137347801304
24,0.4688405342382933
25,0.46657550947313375
26,0.4694517177347476
27,0.4694368733796549
28,0.47295177581634507
29,0.4760170403379632
30,0.4826405385047188
31,0.4805189776863714
32,0.48672609320765714
33,0.4880525025753397
34,0.4839223103179249
35,0.48532567955303996
36,0.4887459914199651
37,0.484091666245799
38,0.48310482677881295
39,0.4893430287690266
40,0.4918010545212451
41,0.49563328337137436
42,0.4956451605756881
43,0.4977923878185384
44,0.5052593967691584
45,0.5040359334041489
46,0.5052495619046276
47,0.5054145001140566
48,0.5071917689682749
49,0.5051593714854588
50,0.5050217261850031
51,0.5077350630546618
52,0.5069255679782904
53,0.5085932535251205
54,0.5126644486211304
55,0.5111019523429955
56,0.5131998684241514
57,0.5208394455766282
58,0.5235661699175282
59,0.5221461383751373
60,0.5238199229097753
61,0.5250811417548331
62,0.5272792314677991
63,0.5341732040681523
64,0.538154913021582
65,0.5384554016254638
66,0.5428196417846431
67,0.5428809724284798
68,0.5432954499702898
69,0.5451154386217307
70,0.5462338198488443
71,0.543076877177912
72,0.5452419290090804
73,0.5428169746959064
74,0.5440979904095149
75,0.5461238418936809
76,0.5446517874358681
77,0.5484007243071122
78,0.5479424758187479
79,0.5498334171462574
80,0.5492361652682183
81,0.5483809463631693
82,0.5472959881310104
83,0.5454229221835756
84,0.5468562846675241
85,0.5473718402724672
86,0.5471101638089836
87,0.5487321104463732
88,0.5507286054656217
89,0.5505627218760265
90,0.5506343980942265
91,0.5493114952710587
92,0.5502167989284252
93,0.5504197791246954
94,0.5528096282245216
95,0.5541693599499036
96,0.5565008941348231
97,0.558129671744712
98,0.5592395380836217
99,0.5590078925517405
100,0.5597505672339083
101,0.5610628236030621
102,0.561943354979614
103,0.562672686767365
104,0.5662713357916396
105,0.5672360301461041
106,0.5679767016714032
107,0.5675990785712532
108,0.5690440707414215
109,0.5692109953001984
110,0.567291519288444
111,0.5677989545754872
112,0.5692044677583601
113,0.5691503277918342
114,0.5704348860748067
115,0.5725041794662047
116,0.570514023243969
117,0.5696939248762829
118,0.5696987596210356
119,0.570729173298721
120,0.5701163379232653
121,0.5693335414694609
122,0.5702213182320164
123,0.5714665627122986
124,0.5697296386164159
125,0.5711411438778691
126,0.5723498589104858
127,0.5719732145780954
128,0.5714020097819628
129,0.5728848505524176
130,0.5728668563149163
131,0.5722471477557718
132,0.5720045282473429
133,0.5711292583376217
134,0.5714320607024969
135,0.5731507581083322
136,0.5743534806058825
137,0.5748774914044107
138,0.5749151017672929
139,0.5752878869528326
140,0.5752937573699031
141,0.574457659272412
142,0.5741300590851633
143,0.5762869107431585
144,0.5762992343449056
145,0.5772491346786084
146,0.5780739339561312
147,0.5781043174823427
148,0.5792119319790691
149,0.5807001582265654
150,0.5802216329666906
151,0.5795163912903933
