category,learner,query_strategy,kernel,length_scale, nu, n_learners, n_initial,n_queries,r2
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,10,100,0.377088704
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,20,100,-14.42578135
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,20,100,0.376908847
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,20,100,0.404263516
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,20,100,0.440682773
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,20,100,0.441638848
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,20,100,0.443422813
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,20,100,0.445447525
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,10,20,100,0.447477974
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,20,100,0.455781836
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,10,20,100,0.462816315
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,40,100,-14.42578135
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,40,100,0.441871759
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,40,100,0.446406302
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,40,100,0.453604641
