experiment,category,learner,query_strategy,kernel,length_scale,length_scale_bounds,n_learners,n_initial,n_queries,r2
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.9),4.901676872273861,"(0.01, 1000.0)",10,80,100,0.5387906537144068
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.84),4.840876177280644,"(0.01, 1000.0)",10,80,100,0.537845890953665
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.84),4.843158216144627,"(0.01, 1000.0)",10,80,100,0.5530491853495119
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.97),4.971896820202909,"(0.01, 1000.0)",10,80,100,0.5275277330860972
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.97),4.9722608292300805,"(0.01, 1000.0)",10,80,100,0.5339664495501901
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.98),4.982315801721483,"(0.01, 1000.0)",10,80,100,0.5262490576672092
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.82),4.821290438149178,"(0.01, 1000.0)",10,80,100,0.5476543553767147
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.88),4.878604939990492,"(0.01, 1000.0)",10,80,100,0.5197909694718688
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.93),4.926905728902076,"(0.01, 1000.0)",10,80,100,0.5317174841048432
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.83),4.831355576362099,"(0.01, 1000.0)",10,80,100,0.5440211476873549
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.98),4.975236886190897,"(0.01, 1000.0)",10,80,100,0.5392934667087479
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.94),4.9447512731548375,"(0.01, 1000.0)",10,80,100,0.5586459871021117
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.98),4.982979352319427,"(0.01, 1000.0)",10,80,100,0.5669607515832844
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5),4.9989539083451575,"(0.01, 1000.0)",10,80,100,0.5436019873282792
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.87),4.874243896278489,"(0.01, 1000.0)",10,80,100,0.5445673156768844
