,r2
0,0.44858169311748763
1,0.4508586614680883
2,0.4381260891388039
3,0.4433291026819359
4,0.4534757751137031
5,0.45001663017766325
6,0.44708140952447806
7,0.4375547597306929
8,0.4438203472909118
9,0.4507182760955267
10,0.4455658554308305
11,0.4400958913175642
12,0.4403045201935132
13,0.44324245306752985
14,0.44621349871686233
15,0.4465412914909599
16,0.45043782715586433
17,0.4556664757737271
18,0.45696168851269303
19,0.46197885901388347
20,0.4675813307895722
21,0.47389541502614174
22,0.46712476064770814
23,0.47395498336407615
24,0.48203125241355915
25,0.47298652447862466
26,0.4778470234572886
27,0.46878069739740114
28,0.473067955558381
29,0.4781446103838951
30,0.4710648133093822
31,0.47092874535580487
32,0.474869528191428
33,0.47449888078058355
34,0.4750793686183329
35,0.4736192446609364
36,0.4732233156925919
37,0.47494943836766235
38,0.4757590915000318
39,0.4748923609240463
40,0.474296827256117
41,0.4787009198412099
42,0.4744963467028823
43,0.4766753626575937
44,0.47922521820558106
45,0.48091665531879924
46,0.48287658884037443
47,0.4863779557496908
48,0.48652573150824185
49,0.4907623736329094
50,0.4929024553393596
51,0.4954071390438908
52,0.49488632780919484
53,0.49708983662427464
54,0.5036112774262957
55,0.5042269646479625
56,0.5041733390106733
57,0.5066098802796188
58,0.5050032290668793
59,0.5081646802520865
60,0.50738008545856
61,0.5059487120471067
62,0.5074141844117307
63,0.5097609767906164
64,0.5095544539181033
65,0.5091854028530114
66,0.5107732698369758
67,0.510294228623382
68,0.5109890203307185
69,0.5117570515860188
70,0.5103720365847866
71,0.5119880260502263
72,0.5150470182406162
73,0.5150836668059098
74,0.516182009466867
75,0.5194847445391134
76,0.5177628436878843
77,0.5140925582868798
78,0.518856910617675
79,0.5199130553220158
80,0.5211949680084034
81,0.5266019836044186
82,0.5255937835275044
83,0.5301633324753368
84,0.5308543973745751
85,0.5323560899664235
86,0.5321920749380424
87,0.5281551775210385
88,0.5277073087197885
89,0.5269420138572051
90,0.533020221629066
91,0.5361453756634723
92,0.5396976750560749
93,0.531713603733067
94,0.5312263387585524
95,0.5307986169101406
96,0.5288483287432344
97,0.5300185900254899
98,0.5312260297011688
99,0.5324601516985057
100,0.5337164794691474
101,0.5362695673756737
102,0.5336226803604412
103,0.5338435928698534
104,0.5322108674959057
105,0.5341405795055489
106,0.5352709725448734
107,0.5371770125057465
108,0.5375995136301255
109,0.5424464306117791
110,0.5405305935900457
111,0.5407128385853108
112,0.5410344128185163
113,0.5429773228741397
114,0.5422378435858655
115,0.5454570972877103
116,0.5420555598656466
117,0.5444791600189083
118,0.5449594999335453
119,0.546467960950912
120,0.547956548977762
121,0.5471554512048199
122,0.548926420799845
123,0.5478486289080129
124,0.5503331464358325
125,0.5496586966467172
126,0.5499139658381367
127,0.5487004912028922
128,0.5494223730913124
129,0.5506465149562219
130,0.552160785141274
131,0.5513260906223141
132,0.5491921809473665
133,0.5485392550537942
134,0.5473017038342894
135,0.5493387384884013
136,0.5484941220100463
137,0.5481186567332179
138,0.5488417347774512
139,0.5462323824339461
140,0.545382329505677
141,0.5471074569814987
142,0.5491120782728474
143,0.5485009009180859
144,0.5483623213038349
145,0.5492806345391247
146,0.5489467497670111
147,0.5494581336451538
148,0.5513719434139623
149,0.5511930586903973
150,0.5515255371232403
151,0.5509394985382372
152,0.5516857834604763
153,0.5508179851669137
154,0.5530006356788817
155,0.5535092467756377
156,0.5552084879548425
157,0.5550074157534098
158,0.5534521506561919
159,0.5553283634395568
160,0.5539865610230412
161,0.5544011180691909
162,0.555081851791585
163,0.5548210732355335
164,0.5562856631803561
165,0.556375711260557
166,0.5570742010817051
167,0.5577803577594076
168,0.5575269700321467
169,0.5582628428192471
170,0.5582927163928351
171,0.559055088884377
172,0.5589642015741463
173,0.55946325020701
174,0.5612296458647039
175,0.5617529193257074
176,0.562605066286862
177,0.5617670700387514
178,0.5619175291290374
179,0.562104248156887
180,0.56191871677583
181,0.5629382048340562
182,0.562749702839761
183,0.5623156115980124
184,0.5629699697841384
185,0.563702069707736
186,0.5638335052096496
187,0.5636636133759991
188,0.5624412685903855
189,0.5627387483357439
190,0.5643885657831177
191,0.5637708695839143
192,0.5646434820667131
193,0.5654656100177247
194,0.5645628254864541
195,0.563927772042009
196,0.5634517537523067
197,0.5640273547899766
198,0.5640599593270654
199,0.5646317507710401
200,0.5645450153775933
201,0.5657273458393821
202,0.5658919457361032
203,0.5650991466068849
204,0.5658644659136296
205,0.5657600400738956
206,0.5662910012127729
207,0.5656696479153589
208,0.5660995385151228
209,0.5657658051451119
210,0.5651486244136192
211,0.5656401509050536
212,0.56566403371665
213,0.5664247795799064
214,0.5676613900503296
215,0.5686005480930051
216,0.5678403762677025
217,0.5694069978561018
218,0.5695323170949149
219,0.5692215154568202
220,0.5699255332080095
221,0.5714610165653015
222,0.57187456279012
223,0.5717590445700629
224,0.5714739766212166
225,0.5716321238362744
226,0.5719617660675136
227,0.5731525887438659
228,0.5731648214058287
229,0.5733346889792833
230,0.5733872756546263
231,0.5747321942454444
232,0.5754926537968745
233,0.5763614990457122
234,0.5768322594557305
235,0.5771538838487029
236,0.5769326174882351
237,0.5773105406957031
238,0.5771790540802888
239,0.5766695678738321
240,0.5773563129362878
241,0.5776788171153057
242,0.5776623041264304
243,0.5784224304378063
244,0.5776682872315
245,0.5779628559617194
246,0.5780824756287968
247,0.5784174721447415
248,0.5778751738332069
249,0.5781928637048865
250,0.578288577403915
251,0.5791136030805863
252,0.579395603576628
253,0.579844135026669
254,0.5792181514470246
255,0.5789447969913379
256,0.5797686978306671
257,0.5795234855638073
258,0.5804393914064478
259,0.5814350861405675
260,0.5820007770673952
261,0.580776902562439
262,0.5809240804190505
263,0.5809118297598594
264,0.581700461789401
265,0.5822211412250953
266,0.5820678935046139
267,0.5828544342763059
268,0.5825608557088646
269,0.5832482951457314
270,0.5831476092793735
271,0.5838180134858496
272,0.5845553898938698
273,0.5837946024826032
274,0.5832908300170689
275,0.583788471817126
276,0.5838336115850828
277,0.5840041581237223
278,0.5846521968241005
279,0.5845421974260381
280,0.5848327123238024
281,0.5848491445428174
282,0.5843612421764179
283,0.5840925752125539
284,0.5835273604191843
285,0.5839519683454102
286,0.5839383963638894
287,0.5837240863032407
288,0.583934525954019
289,0.5837946679209276
290,0.5836142765837458
291,0.5841699124562316
292,0.584560646063006
293,0.5835066435430336
294,0.5832429009256233
295,0.5828096628751532
296,0.5833646612588927
297,0.5832472739560337
298,0.5827239793464871
299,0.5830032005032965
300,0.5830414852999501
301,0.5829424394174181
302,0.5835525539965545
303,0.5833596082153482
304,0.5837042949683837
305,0.5843573707440266
306,0.5843726895945043
307,0.5846110002773652
308,0.5848180156901368
309,0.5854068280833639
310,0.5860478561658908
311,0.5857926549298254
312,0.585232377725478
313,0.5850185182607339
314,0.5846373088876704
315,0.5837923701304679
316,0.5837408155326524
317,0.5833363433779896
318,0.5839480555929526
319,0.5843618223136657
320,0.5849873714198218
321,0.5851509851537358
322,0.5846797748110065
323,0.5853135489360497
324,0.5851028235415004
325,0.5854068920964652
326,0.586294714669092
327,0.5864000071451333
328,0.5855587066377923
329,0.5856968979361739
330,0.5855148025658956
331,0.5860218545962211
332,0.5861546462909473
333,0.5871685882622344
334,0.5869022923759912
335,0.5872846896500452
336,0.5869399892277096
337,0.5866609255073707
338,0.587273695315154
339,0.5868115499011772
340,0.5870329439433393
341,0.587050490972845
342,0.5869918552965847
343,0.586616896084244
344,0.587180123372166
345,0.5872958155171719
346,0.5869765778708984
347,0.5868201290172048
348,0.5867231366470469
349,0.5864679674582671
350,0.5865219306412024
