experiment,category,learner,query_strategy,n_estimators,max_depth,n_learners,n_initial,n_queries,r2
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,6,1,80,1,0.137826015
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,7,1,80,1,0.205752725
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,8,1,80,1,0.228937538
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,9,1,80,1,0.187600119
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,10,1,80,1,0.219555748
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,11,1,80,1,0.269102977
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,12,1,80,1,0.315019604
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,13,1,80,1,0.233159228
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,14,1,80,1,0.281345409
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,15,1,80,1,0.147414119
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,16,1,80,1,0.20923474
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,17,1,80,1,0.225491614
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,18,1,80,1,0.242662886
4_1,Single Learner,Random Forest Regressor,GP_regression_std,16,19,1,80,1,0.179323922
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,1,1,80,1,0.139684351
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,2,1,80,1,0.288589999
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,3,1,80,1,0.160039675
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,4,1,80,1,0.271269526
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,5,1,80,1,0.217784984
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,6,1,80,1,0.2129501
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,7,1,80,1,0.164595746
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,8,1,80,1,0.320071529
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,9,1,80,1,0.259258634
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,10,1,80,1,0.254801352
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,11,1,80,1,0.243258235
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,12,1,80,1,0.180858908
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,13,1,80,1,0.225866777
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,14,1,80,1,0.272699121
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,15,1,80,1,0.068426625
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,16,1,80,1,0.274684223
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,17,1,80,1,0.104184044
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,18,1,80,1,0.335207463
4_1,Single Learner,Random Forest Regressor,GP_regression_std,21,19,1,80,1,0.250800082
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,1,1,80,1,0.19512758
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,2,1,80,1,0.249772485
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,3,1,80,1,0.313215853
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,4,1,80,1,0.224869214
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,5,1,80,1,0.176985594
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,6,1,80,1,0.271548723
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,7,1,80,1,0.280408786
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,8,1,80,1,0.290089032
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,9,1,80,1,0.25022835
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,10,1,80,1,0.305294038
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,11,1,80,1,0.296949238
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,12,1,80,1,0.213341304
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,13,1,80,1,0.284371695
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,14,1,80,1,0.337314013
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,15,1,80,1,0.301914932
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,16,1,80,1,0.25034315
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,17,1,80,1,0.260467177
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,18,1,80,1,0.068674625
4_1,Single Learner,Random Forest Regressor,GP_regression_std,26,19,1,80,1,0.240764947
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,1,1,80,1,0.217968746
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,2,1,80,1,0.213714273
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,3,1,80,1,0.2958504
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,4,1,80,1,0.252564757
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,5,1,80,1,0.249048207
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,6,1,80,1,0.285483524
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,7,1,80,1,0.326552061
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,8,1,80,1,0.303582861
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,9,1,80,1,0.244870943
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,10,1,80,1,0.250866894
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,11,1,80,1,0.244848941
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,12,1,80,1,0.291815361
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,13,1,80,1,0.267973363
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,14,1,80,1,0.34166131
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,15,1,80,1,0.240230113
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,16,1,80,1,0.055805961
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,17,1,80,1,0.253256506
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,18,1,80,1,0.317293684
4_1,Single Learner,Random Forest Regressor,GP_regression_std,31,19,1,80,1,0.298237255
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,1,1,80,1,0.1509269
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,2,1,80,1,0.100429724
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,3,1,80,1,0.257505811
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,4,1,80,1,0.167457425
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,5,1,80,1,0.290639794
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,6,1,80,1,0.309156547
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,7,1,80,1,0.265586306
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,8,1,80,1,0.24247383
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,9,1,80,1,0.217616978
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,10,1,80,1,0.234577081
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,11,1,80,1,0.182452232
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,12,1,80,1,0.17269883
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,13,1,80,1,0.229094732
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,14,1,80,1,0.257357421
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,15,1,80,1,0.324452729
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,16,1,80,1,0.203317168
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,17,1,80,1,0.215139487
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,18,1,80,1,0.174021576
4_1,Single Learner,Random Forest Regressor,GP_regression_std,36,19,1,80,1,0.210665175
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,1,1,80,1,0.189085361
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,2,1,80,1,0.281879287
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,3,1,80,1,0.216463543
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,4,1,80,1,0.26570269
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,5,1,80,1,0.297820457
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,6,1,80,1,0.172885058
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,7,1,80,1,0.190228016
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,8,1,80,1,0.224964659
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,9,1,80,1,0.234091044
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,10,1,80,1,0.202676878
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,11,1,80,1,0.188563054
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,12,1,80,1,0.21621721
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,13,1,80,1,0.208248168
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,14,1,80,1,0.313759446
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,15,1,80,1,0.29976677
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,16,1,80,1,0.307314845
4_1,Single Learner,Random Forest Regressor,GP_regression_std,41,17,1,80,1,0.269533301
