,r2
0,0.42166537420135997
1,0.42269874975795263
2,0.422712493236971
3,0.42337541724348215
4,0.41775466281869156
5,0.41993482597007126
6,0.4153795835497639
7,0.41410560623079307
8,0.4060334550268804
9,0.40817773428474347
10,0.40062345045269454
11,0.39809374990273916
12,0.3979563972963893
13,0.39918978624202595
14,0.40198580734529277
15,0.40088690999229537
16,0.4050668784022293
17,0.40883680125166766
18,0.40406041934674763
19,0.4140801112277872
20,0.41257712484801734
21,0.41601618759701486
22,0.42229937628903824
23,0.4174977476662821
24,0.4219663249354826
25,0.42016259406185863
26,0.4226696822503677
27,0.4201488490421984
28,0.4154584761379342
29,0.4164132375848949
30,0.4184865735926109
31,0.4194589358752068
32,0.4149423691516564
33,0.42241854175147364
34,0.4247501907978152
35,0.42815750816810194
36,0.42899575367794973
37,0.4336757332019532
38,0.4321661278775889
39,0.43684369391147204
40,0.4363059630275612
41,0.4403938892640147
42,0.4398285032582008
43,0.445388506239362
44,0.4457033856075625
45,0.44528478477577293
46,0.4437383886025772
47,0.44281169028555656
48,0.44113695824588817
49,0.44368432059519813
50,0.45005748111559507
51,0.4568309496498595
52,0.4571774365039405
53,0.45741781906468104
54,0.4591976251705583
55,0.46115887728937344
56,0.46119495600505456
57,0.46348351171031155
58,0.46487897765774133
59,0.4647010238917335
60,0.4691830966664945
61,0.4704878949529542
62,0.4704070586117952
63,0.46901112179859694
64,0.4686520183463573
65,0.46651548133865106
66,0.4644220788750625
67,0.46836513040329975
68,0.4719292269823139
69,0.4696449288037361
70,0.4742936191964735
71,0.4745499421843564
72,0.4735516176839779
73,0.4756841888700156
74,0.47695530718899415
75,0.47299169804317776
76,0.4762576395774206
77,0.4794473391818208
78,0.4801263003556401
79,0.48114179241009314
80,0.481385584452649
81,0.48156933802636503
82,0.48320242912800804
83,0.48209409904181
84,0.4814543535925415
85,0.4846347534423837
86,0.48818164390774255
87,0.48648336804531
88,0.4891674314090191
89,0.48917817841224753
90,0.4891094363195051
91,0.4905618052056273
92,0.48967182841704926
93,0.493583024263172
94,0.4918113531487408
95,0.4910287920377796
96,0.4933057318569598
97,0.49680412123440454
98,0.498025827513609
99,0.4992029456508468
100,0.4961826554694645
101,0.5031132255327808
102,0.5039516064272225
103,0.5008604090852766
104,0.5020346144091102
105,0.5034850780925242
106,0.5048557361483212
107,0.5077486426436323
108,0.508972038489972
109,0.5097454639630306
110,0.5082687735013727
111,0.5101696884760442
112,0.508353363286774
113,0.5113860118197523
114,0.515451427832142
115,0.5143625798086189
116,0.5162761133031063
117,0.5144126951336747
