category,learner,query_strategy,kernel,rbf_length_scale,white_noise_scale,n_learners,n_initial,n_queries,r2
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.64),0.45,0.6404194170119704,10,80,100,-0.008639931630265663
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.261),0.45,0.26055822048441835,10,80,100,0.34637254580569865
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.211),0.45,0.21140318613358236,10,80,100,0.3647115280537593
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.904),0.45,0.9042999609220371,10,80,100,0.34337567628466614
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.473),0.45,0.4732373205319961,10,80,100,0.3017937141968744
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.119),0.45,0.11919425066465968,10,80,100,-0.028807027982799438
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.988),0.45,0.9875101206450075,10,80,100,0.368277918887125
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.21),0.45,0.2100423456083671,10,80,100,0.3940890496961523
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.43),0.45,0.429735983053284,10,80,100,0.03690711817931802
