experiment,category,learner,query_strategy,kernel,length_scale, nu, n_learners, n_initial,n_queries,r2
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,10,10,100,0.34482746
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,2,40,100,0.346008861
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,5,10,100,0.349678976
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,10,100,0.351338735
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,10,100,0.352131512
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,10,100,0.354014913
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,40,100,0.354173276
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,20,100,0.357035972
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,20,100,0.359116419
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,20,100,0.360022724
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,40,100,0.360362373
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,2,40,100,0.360759627
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,20,100,0.360786032
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.14)",0.644444444,1.142857143,10,80,100,0.360958527
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,10,100,0.364782497
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,5,20,100,0.368468979
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,2,40,100,0.369990442
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,10,10,100,0.370365833
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,40,100,0.371564786
